DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,FEX_MICRO_DPTO
2120551,1,1,31.1524765596406
2120551,1,2,31.1524765596406
2120553,1,2,
2120564,1,1,32.7548544924258
2120565,1,1,29.9574753824899
2120565,1,2,29.9574753824899
2120569,1,1,26.3790043501107
2120570,1,2,
2120575,1,1,
2120575,1,2,
2120578,1,1,34.6685500066058
2120580,1,1,38.1354050072664
2120587,1,1,29.9469545329611
2120587,1,2,29.9469545329611
2120588,1,1,
2120592,1,2,37.3118703425143
2120593,1,1,28.4216757984868
2120596,1,1,36.0678454177725
2120598,1,1,39.0316285159792
2120602,1,1,82.0300787405912
2120602,1,2,82.0300787405912
2120603,1,1,78.8544536591182
2120603,1,2,78.8544536591182
2120607,1,1,75.8886204938919
2120609,1,1,80.2719413269164
2120609,1,2,
2120610,1,1,60.7718802113745
2120610,1,2,60.7718802113745
2120611,1,1,63.3395432202203
2120612,1,1,67.5966930960282
2120612,1,2,67.5966930960282
2120614,1,1,66.3877021170979
2120615,1,1,56.3079597522513
2120616,1,1,66.7728956211703
2120616,1,2,66.7728956211703
2120617,1,2,66.7728956211703
2120618,1,2,67.1757547167093
2120621,1,1,
2120624,1,2,63.751450377307
2120630,1,6,
2120632,1,1,
2120638,1,1,61.7601913190194
2120638,1,2,61.7601913190194
2120638,1,3,61.7601913190194
2120639,1,1,65.1179958524413
2120639,1,2,65.1179958524413
2120641,1,1,91.1844614250494
2120641,1,2,91.1844614250494
2120642,1,1,62.9605692320976
2120642,1,2,62.9605692320976
2120643,1,1,54.0832006526939
2120645,1,3,123.949549127983
2120645,1,4,123.949549127983
2120645,1,5,123.949549127983
2120646,1,2,71.0112627395296
2120647,1,1,52.4072216871048
2120648,1,1,30.068130026028
2120649,1,1,45.5960232752652
2120650,1,1,39.2469449164039
2120651,1,1,58.9411173172441
2120652,1,1,31.8747405746215
2120654,1,1,65.758635058067
2120654,1,2,
2120655,1,1,41.2599898517929
2120656,1,1,35.2149935856141
2120657,1,1,83.4065665062671
2120658,1,1,163.323125745704
2120658,1,2,163.323125745704
2120659,1,1,116.904918710942
2120659,1,2,116.904918710942
2120661,1,1,54.0832006526939
2120662,1,1,60.9730630582588
2120662,1,2,
2120663,1,2,71.0112627395296
2120664,1,1,36.2922979819747
2120668,1,2,
2120669,1,1,81.5851368640754
2120670,1,1,77.5621042914347
2120670,1,2,77.5621042914347
2120674,1,1,
2120677,1,1,
2120678,1,1,73.4200866130919
2120686,1,1,76.52518615609
2120686,1,2,76.52518615609
2120692,1,1,
2120694,1,1,17.1284998063056
2120700,1,1,14.3634993324589
2120701,1,1,133.801382969025
2120701,1,2,133.801382969025
2120702,1,1,181.177129839969
2120704,1,1,159.270234428625
2120706,1,1,333.611204440834
2120706,1,2,333.611204440834
2120706,1,3,
2120707,1,1,78.3817357149241
2120709,1,1,166.611378779273
2120709,1,2,166.611378779273
2120711,1,1,100.94894424863
2120712,1,1,292.816231418231
2120712,1,2,292.816231418231
2120714,1,1,224.523472661859
2120714,1,3,224.523472661859
2120717,1,1,105.444466092365
2120718,1,1,143.394964676617
2120719,1,1,93.6356705363432
2120720,1,1,136.374158545389
2120721,1,1,130.326490287949
2120722,1,1,195.205591763439
2120722,1,2,195.205591763439
2120722,1,3,195.205591763439
2120724,1,1,181.177129839969
2120724,1,2,181.177129839969
2120726,1,1,161.711016819016
2120727,1,2,119.242808031412
2120729,1,1,136.374158545389
2120731,1,1,
2120731,1,2,175.850203112762
2120732,1,1,257.043637536025
2120732,1,2,257.043637536025
2120734,1,1,139.191724478684
2120739,1,1,178.870395909021
2120740,1,1,202.948142863597
2120740,1,2,202.948142863597
2120742,1,2,17.7549158461097
2120742,1,3,17.7549158461097
2120743,1,2,17.1023897463229
2120747,1,2,
2120754,1,1,162.479831945346
2120755,1,1,178.896049159109
2120755,1,2,178.896049159109
2120756,1,1,152.765852419867
2120758,1,1,207.597625401934
2120758,1,2,207.597625401934
2120762,1,2,210.738990184621
2120763,1,1,239.002381485122
2120776,1,1,72.9089058311122
2120786,1,1,96.0505091438695
2120788,1,1,118.792704160668
2120795,1,1,104.105070530842
2120795,1,5,104.105070530842
2120799,1,1,98.8069006207957
2120801,1,1,73.4640233993381
2120807,1,1,194.713853274576
2120809,1,1,180.934964947574
2120812,1,1,129.292181803778
2120812,1,2,129.292181803778
2120819,1,1,39.8730610324282
2120820,1,2,34.0202775464519
2120827,1,1,42.3922375724725
2120830,1,1,118.864449244176
2120832,1,1,75.5314133118789
2120834,1,1,54.5801240468516
2120835,1,1,52.8665857010793
2120836,1,1,71.7558771471479
2120837,1,1,89.6560287864759
2120838,1,1,60.678933611438
2120842,1,1,28.7286613598382
2120843,1,2,28.7240811835715
2120853,1,1,31.4802282749712
2120860,1,1,42.8210502585364
2120864,1,2,36.2869892032531
2120868,1,1,78.4659797817834
2120874,1,1,50.7837538237121
2120875,1,1,67.2119376991034
2120879,1,1,45.6356301280159
2120884,1,1,87.7618930306013
2120890,1,2,75.1390862684196
2120891,1,1,92.3362941863401
2120891,1,2,92.3362941863401
2120893,1,1,78.1813496729522
2120893,1,2,78.1813496729522
2120894,1,2,88.582024609978
2120897,1,1,70.7010834365594
2120898,1,2,51.9890296660361
2120900,1,1,41.4870718453515
2120900,1,3,41.4870718453515
2120901,2,1,61.6454601982967
2120903,2,1,89.3975873141129
2120905,1,1,65.9544958473858
2120905,1,2,65.9544958473858
2120906,1,2,44.9445457446011
2120907,1,1,38.0900332046225
2120907,1,2,38.0900332046225
2120908,1,4,27.5375959730979
2120909,1,2,47.8449474967564
2120909,1,3,47.8449474967564
2120912,1,1,77.7736723938113
2120912,1,2,77.7736723938113
2120913,1,1,66.0858004671707
2120913,1,2,66.0858004671707
2120914,1,1,72.7467165137645
2120915,1,1,74.4755370140645
2120916,1,2,
2120917,1,1,72.7467165137645
2120921,1,1,72.953562898093
2120922,1,1,77.2023395745123
2120926,1,1,35.792557798454
2120926,1,7,35.792557798454
2120926,1,10,35.792557798454
2120932,1,1,61.0409640266364
2120932,1,4,61.0409640266364
2120933,1,1,36.0195414484467
2120933,1,7,36.0195414484467
2120934,1,3,55.0261786649676
2120935,1,1,75.1355420053923
2120936,1,1,108.76278400298
2120937,1,2,61.9157894390957
2120938,1,2,36.9664364985391
2120938,1,3,
2120938,1,5,36.9664364985391
2120939,1,1,
2120939,1,3,68.3844775835859
2120939,1,4,68.3844775835859
2120940,1,1,86.2977257951419
2120941,1,3,67.5544340108774
2120944,1,1,41.0858139046495
2120944,1,3,41.0858139046495
2120944,1,6,
2120945,1,1,48.1538488454842
2120945,1,5,48.1538488454842
2120945,1,6,48.1538488454842
2120947,1,4,65.503300185462
2120948,1,2,46.7659539094165
2120948,1,7,46.7659539094165
2120949,1,1,73.0439991750682
2120949,1,2,73.0439991750682
2120950,1,1,86.4523543579605
2120950,1,2,86.4523543579605
2120952,1,4,40.2000590698936
2120952,1,5,40.2000590698936
2120953,1,1,48.3986787344945
2120953,1,5,48.3986787344945
2120954,1,1,84.6760032630698
2120954,1,2,84.6760032630698
2120955,1,2,91.3943743910943
2120958,1,1,156.064903470022
2120959,1,1,110.723541297733
2120960,1,2,103.922055907286
2120962,1,2,111.550003427527
2120963,1,2,185.54325579885
2120964,1,1,161.017249221476
2120966,1,1,160.842695958422
2120966,1,3,160.842695958422
2120968,1,2,146.028552545953
2120969,1,1,162.943136644236
2120970,1,2,87.1331353890786
2120970,1,4,87.1331353890786
2120971,1,1,137.893767011513
2120971,1,2,137.893767011513
2120973,1,1,45.8761050147633
2120974,1,1,54.13664928086
2120975,1,1,34.4120505591856
2120975,1,2,34.4120505591856
2120982,1,1,141.897614391788
2120985,1,2,124.461680787062
2120985,1,3,124.461680787062
2120989,1,2,145.224269411164
2120991,1,5,96.3971795214955
2120992,1,1,34.5823164839027
2120992,1,2,34.5823164839027
2120992,1,3,34.5823164839027
2120993,1,2,53.5516828200222
2120994,1,1,59.3768804313148
2120996,1,2,47.9679465759796
2121000,1,1,73.1667217214712
2121007,1,1,123.280689619491
2121007,1,2,123.280689619491
2121008,1,2,121.562220587956
2121009,1,1,103.553095002664
2121010,1,1,153.013321924697
2121015,1,1,48.4706647057733
2121017,1,1,57.7199473651975
2121019,1,1,48.8397131397751
2121021,1,1,78.8617482076284
2121022,1,1,144.568811186207
2121025,1,1,
2121026,1,2,149.448883309718
2121032,1,1,104.392134254135
2121034,1,1,43.7918606007075
2121034,1,2,43.7918606007075
2121039,1,1,50.385977110251
2121042,1,3,34.6732572498853
2121043,1,1,45.7050359508884
2121043,1,2,45.7050359508884
2121044,1,1,46.5913808667969
2121048,1,4,40.8302144741077
2121048,1,6,
2121049,1,1,59.8320483971692
2121050,1,2,50.0317092893321
2121053,1,1,
2121056,1,1,49.4575806416275
2121056,1,6,49.4575806416275
2121058,1,1,45.2105142736003
2121059,1,1,46.2738123897642
2121059,1,3,46.2738123897642
2121060,1,3,32.257786479535
2121062,1,2,43.3307577946602
2121063,1,1,48.8894006735173
2121064,1,1,43.0706722134181
2121064,1,3,43.0706722134181
2121070,1,1,47.0252826544477
2121070,1,4,47.0252826544477
2121071,1,1,37.7553656496179
2121072,1,1,36.9520688896987
2121072,1,2,36.9520688896987
2121073,1,1,51.3569093978689
2121074,1,1,41.110366708586
2121075,1,1,50.6280619143004
2121076,1,3,42.9891540835651
2121077,1,1,42.8713159588314
2121081,1,2,43.3874916843686
2121083,1,1,
2121083,1,3,38.4308034018239
2121083,1,4,38.4308034018239
2121084,1,1,35.1431161573741
2121084,1,2,35.1431161573741
2121085,1,1,37.6754285613336
2121087,1,1,32.3526810405781
2121087,1,2,32.3526810405781
2121088,1,1,41.3307720910907
2121089,1,1,35.4162975613402
2121091,1,1,28.7001671566247
2121091,1,3,28.7001671566247
2121092,1,1,41.3307720910907
2121095,1,1,33.1090982775713
2121095,1,2,33.1090982775713
2121096,1,1,49.5313232305779
2121096,1,4,49.5313232305779
2121097,1,1,41.2325820879289
2121098,1,2,44.9790956715194
2121100,1,1,27.7024408825847
2121100,1,2,27.7024408825847
2121102,1,1,35.8242950696376
2121104,1,2,
2121109,1,2,121.621977581419
2121110,1,1,119.678249708709
2121111,1,2,
2121111,1,3,106.146532611949
2121112,1,1,109.747510398927
2121115,1,1,273.324645961736
2121115,1,2,273.324645961736
2121115,1,3,273.324645961736
2121117,1,1,
2121121,1,1,101.811999461717
2121122,1,2,119.395956553813
2121125,1,1,88.6445701699187
2121127,1,1,107.430874050894
2121128,1,2,70.2084342913895
2121129,1,1,71.0534168596619
2121133,1,1,113.822470724213
2121134,1,1,50.9170200193957
2121135,1,2,24.0155352653384
2121136,1,1,40.8427753671799
2121136,1,6,40.8427753671799
2121137,1,1,29.4659083248617
2121137,1,2,29.4659083248617
2121139,1,1,40.6109683716393
2121140,1,1,33.4796762315839
2121141,1,1,25.9830092667703
2121142,1,1,32.8059258324231
2121143,1,1,43.4853697180344
2121144,1,1,38.4044542790307
2121146,1,1,121.067682085617
2121148,1,1,
2121151,1,1,126.180041546794
2121151,1,2,126.180041546794
2121158,1,1,134.076554974101
2121159,1,1,114.67194972763
2121159,1,2,114.67194972763
2121165,1,1,144.374331355615
2121165,1,2,144.374331355615
2121166,1,1,167.414369073768
2121168,1,1,90.830700878521
2121172,1,1,127.43511353639
2121173,1,2,139.316521795095
2121173,1,4,139.316521795095
2121174,1,1,118.89629932563
2121175,1,2,134.887286843522
2121176,1,2,90.8303630073387
2121177,1,1,123.193343405436
2121179,1,2,134.075079163805
2121183,1,1,130.33302857861
2121184,1,2,90.8303630073387
2121186,1,1,32.2952863155947
2121186,1,2,32.2952863155947
2121189,1,3,28.976923635067
2121191,1,2,36.3083427225291
2121193,1,1,30.3477405489597
2121193,1,3,30.3477405489597
2121198,1,1,38.5646859094849
2121200,1,1,31.9297236216001
2121200,1,4,31.9297236216001
2121204,1,2,114.269757495491
2121206,1,1,200.425598443412
2121206,1,2,200.425598443412
2121207,1,2,204.87862717968
2121207,1,3,204.87862717968
2121208,1,2,128.940200415052
2121208,1,4,128.940200415052
2121209,1,2,120.403158512113
2121209,1,3,
2121211,1,1,150.229920714992
2121212,1,2,169.727926871617
2121214,1,1,34.8316912618255
2121217,1,3,40.9896840832867
2121223,1,1,30.2425092568971
2121224,1,3,
2121225,1,3,39.7836873661509
2121225,1,4,39.7836873661509
2121230,1,1,33.6368535649905
2121230,1,3,33.6368535649905
2121233,1,1,34.3683171332985
2121235,1,1,123.789744630768
2121235,1,3,123.789744630768
2121235,1,4,
2121235,1,5,123.789744630768
2121239,1,2,133.897279652556
2121239,1,3,133.897279652556
2121240,1,1,203.532175723144
2121240,1,2,203.532175723144
2121240,1,3,203.532175723144
2121241,1,2,
2121243,1,3,117.2891750341
2121246,1,2,37.9701657277656
2121247,1,1,223.597066317327
2121251,1,1,26.9913953347783
2121252,1,1,38.6527385677716
2121252,1,2,38.6527385677716
2121253,1,1,25.5481095712679
2121256,1,1,31.2770891611726
2121257,1,2,26.9349872070439
2121263,1,1,40.6071860730358
2121263,1,2,40.6071860730358
2121263,1,3,
2121264,1,2,28.3161092294616
2121266,1,1,32.1340961257077
2121267,1,1,30.5015184198357
2121267,1,2,
2121270,1,2,
2121273,1,5,
2121274,1,1,22.0520205631472
2121274,1,4,22.0520205631472
2121276,1,2,
2121277,1,1,36.9343782905544
2121279,1,1,42.8279971750469
2121279,1,2,
2121281,1,1,40.8999281791451
2121281,1,2,40.8999281791451
2121285,1,2,32.4578646438541
2121287,1,1,41.9556280217372
2121288,1,2,40.7486605604018
2121290,1,1,43.4813936881668
2121292,1,1,35.1196553462006
2121292,1,3,35.1196553462006
2121294,1,1,
2121294,1,2,52.2110839685231
2121295,1,1,54.5800940282906
2121295,1,2,54.5800940282906
2121297,1,1,53.1995240799249
2121297,1,3,53.1995240799249
2121299,1,1,49.5217844957172
2121302,1,1,52.5329211307793
2121306,1,2,32.4578646438541
2121307,1,1,29.3087338000883
2121307,1,2,29.3087338000883
2121307,1,4,29.3087338000883
2121309,1,1,30.2318612244681
2121309,1,5,30.2318612244681
2121311,1,1,43.4071243746864
2121311,1,2,43.4071243746864
2121312,1,1,39.4944244905319
2121313,1,2,44.0110385489603
2121318,1,1,46.151190823911
2121319,1,1,41.5833345656598
2121321,1,1,46.6528573210816
2121322,1,1,44.5696060461454
2121324,1,1,46.7874978827111
2121328,1,1,78.4166031428253
2121329,1,1,53.0537242197237
2121329,1,2,53.0537242197237
2121330,1,1,43.0087492373692
2121332,1,1,53.6922439730847
2121333,1,1,66.985179584721
2121334,1,1,53.0537242197237
2121334,1,2,53.0537242197237
2121337,1,1,66.985179584721
2121340,1,2,71.9053200217476
2121342,1,2,64.0746259129718
2121342,1,4,64.0746259129718
2121343,1,3,75.4818173975112
2121344,1,1,89.7729711982929
2121346,1,1,72.4008066203896
2121348,1,1,48.6325805347467
2121349,1,1,69.372450179035
2121350,1,4,105.348820658142
2121353,1,3,101.78127938028
2121356,1,1,81.9408152971617
2121356,1,2,81.9408152971617
2121359,1,1,69.7758129898983
2121359,1,4,
2121359,1,5,
2121375,1,1,120.879031197197
2121377,1,1,101.88096725268
2121381,1,2,121.565395851
2121389,1,1,97.420297154655
2121390,1,2,61.2067893726446
2121390,1,6,
2121411,1,1,80.3940939172076
2121413,1,1,35.8485381099371
2121429,1,1,107.317943384716
2121443,1,1,107.955432957297
2121448,1,2,140.569289399065
2121457,1,1,106.130957605851
2121459,1,1,72.3266854006459
2121462,1,1,144.386034220649
2121464,1,3,93.2304364465648
2121470,1,1,140.484385415959
2121471,1,1,115.129010524513
2121479,1,2,155.343322982423
2121481,1,1,
2121482,1,1,200.129006555593
2121483,1,1,
2121484,1,1,169.519325533621
2121496,1,1,184.974001097488
2121497,1,1,158.786368965342
2121515,1,2,19.5624772138186
2121527,1,1,20.5390285933178
2121532,1,1,26.3760586223203
2121536,1,2,127.010137668068
2121538,1,1,27.9453139356106
2121539,1,1,
2121544,1,1,
2121554,1,1,75.0470456066845
2121562,1,1,58.5103636731916
2121564,1,3,53.8667079133265
2121565,1,2,40.131299537307
2121571,1,1,53.520572647707
2121572,1,1,40.131299537307
2121574,1,1,68.5614178036166
2121575,1,2,66.4799736094162
2121577,1,1,68.5614178036166
2121578,1,1,53.9738349655402
2121584,1,1,52.9372044683842
2121587,1,1,72.6361005606606
2121588,1,3,32.4448380802873
2121589,1,5,29.5706366853568
2121593,1,2,55.9017130734764
2121595,1,3,65.8001514565417
2121607,1,1,94.1463417780795
2121613,1,2,79.3972344890539
2121615,1,1,62.0267504524435
2121619,1,3,94.2565545975172
2121620,1,1,79.598035268372
2121629,1,1,61.6236267370063
2121634,1,1,65.99847780941
2121637,1,1,
2121638,1,1,74.2816893869142
2121645,1,1,12.3366146907067
2121665,1,1,142.436420750896
2121684,1,3,244.915571079378
2121688,1,4,319.705736491231
2121698,1,2,780.102955632636
2121710,1,1,40.8128572959117
2121719,1,2,98.0303708298102
2121722,1,1,82.2449824094145
2121727,1,1,154.675318079823
2121750,1,1,586.793645764711
2121755,1,2,31.8294673670254
2121756,1,1,29.0094408369689
2121775,1,1,101.80630997163
2121776,1,1,259.391180460976
2121787,1,1,239.919299466421
2121788,1,1,188.941225516026
2121791,1,1,192.715270486636
2121795,1,1,
2121796,1,1,171.401729437011
2121800,1,1,192.715270486636
2121804,1,1,156.324723626151
2121816,1,2,24.4475829327595
2121825,1,1,42.1533216907627
2121829,1,1,56.2461940357519
2121830,1,1,42.7643937247626
2121833,1,1,42.7643937247626
2121836,1,1,46.7834512168026
2121842,1,1,10.1914505661689
2121847,1,1,733.769351234406
2121862,1,3,299.644385255744
2121863,1,1,637.179274597196
2121876,1,1,37.5387652899996
2121893,1,1,
2121896,1,1,399.905440372733
2121927,1,1,450.521788286354
2121939,1,1,1082.47995294321
2121952,1,1,150.935358480328
2121952,1,2,150.935358480328
2121954,1,1,150.935358480328
2121957,1,1,308.875695908301
2121959,1,1,150.935358480328
2121964,1,2,219.423590281466
2121968,1,1,150.308269523286
2121994,1,2,40.7826554230066
2121995,1,2,36.5900118885156
2121996,,,
2121998,1,1,20.644675133352
2121999,1,1,12.363637567865
2122000,1,1,
2122002,1,2,36.8397049811932
2122004,1,1,21.7007563498671
2122005,1,1,17.7450145777494
2122006,,,
2122012,1,1,30.8552147562203
2122019,1,1,34.9866306448235
2122025,1,1,19.5479049209796
2122026,1,1,42.2203749036102
2122030,1,2,16.2662633629369
2122033,1,1,31.9666425994443
2122040,1,1,29.5814443524177
2122041,1,1,20.2730948126792
2122053,1,2,22.2604307273584
2122065,1,1,32.5034909477715
2122067,1,1,40.9010300589743
2122069,1,2,
2122072,1,2,40.9034054270987
2122073,1,1,38.1592776729247
2122074,1,1,20.3204394352571
2122075,1,1,
2122080,1,1,29.0217356290927
2122083,1,2,33.1046740374392
2122084,1,1,43.3852613427808
