DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,P3050,P3051,P639,P3052,CLASE_TE,COD_DEPTO,AREA,F_EXP
2120235,1,1,2,1,5,1,1,08,"",131.577074818717
2120237,1,1,1,2,5,1,1,08,"",92.5589931809525
2120239,1,1,1,1,4,6,1,08,"",63.0948250934371
2120239,1,2,1,3,4,6,1,08,"",63.0948250934371
2120239,1,3,1,3,5,1,1,08,"",63.0948250934371
2120245,1,1,1,1,5,6,1,08,"",107.646971507791
2120246,1,1,1,1,1,6,1,08,"",132.087329045104
2120246,1,2,1,1,2,4,1,08,"",132.087329045104
2120247,1,1,1,1,5,1,1,08,"",122.738316426177
2120247,1,2,1,2,3,4,1,08,"",122.738316426177
2120250,1,5,1,1,5,6,1,08,"",92.5919211869113
2120252,1,1,2,3,5,1,1,08,"",121.266021115737
2120253,1,2,1,1,1,4,1,08,"",132.087329045104
2120257,1,2,1,2,1,1,2,13,"",93.3516121494272
2120259,1,1,1,2,5,1,2,13,"",118.314595570679
2120261,1,1,1,1,3,1,2,13,"",107.340798137471
2120262,1,1,1,1,5,2,2,13,"",111.813675680931
2120263,1,1,1,2,1,6,2,13,"",130.022061676519
2120269,1,2,1,2,5,1,1,13,"",142.098262133693
2120269,1,5,1,2,4,1,1,13,"",142.098262133693
2120271,1,3,1,2,3,1,1,13,"",180.023035866634
2120272,1,1,1,1,5,1,1,13,"",186.588351697772
2120272,1,2,1,4,5,1,1,13,"",186.588351697772
2120272,1,3,1,5,3,1,1,13,"",186.588351697772
2120274,1,1,1,2,5,2,1,13,"",101.001148703839
2120274,1,2,1,2,5,1,1,13,"",101.001148703839
2120275,1,1,1,2,5,1,1,13,"",189.327713015217
2120277,1,2,1,2,5,2,1,13,"",195.618494772745
2120282,1,1,2,3,5,1,2,13,"",106.734271770218
2120287,1,2,1,1,1,3,2,13,"",106.282481572505
2120289,1,2,1,2,5,1,2,13,"",122.084177500036
2120290,1,3,1,2,1,1,2,13,"",75.4208722978493
2120292,1,1,2,2,1,1,2,13,"",134.581331812527
2120292,1,2,1,1,2,1,2,13,"",134.581331812527
2120293,1,3,1,3,5,1,2,13,"",85.9595947868084
2120296,1,2,1,3,5,1,2,13,"",105.21847598225
2120297,1,1,1,2,5,1,2,13,"",166.93637197185
2120298,1,1,1,3,3,1,2,13,"",111.032247498656
2120299,1,1,1,2,2,1,2,13,"",134.101337407225
2120300,1,1,1,3,5,2,2,13,"",135.690047591618
2120301,1,2,1,2,5,1,1,13,"",221.861476405611
2120303,1,1,1,5,4,2,1,13,"",261.099517492981
2120304,1,3,1,2,4,6,1,13,"",209.480069667402
2120305,1,1,1,2,3,1,1,13,"",242.864862915962
2120306,1,3,1,1,1,6,1,13,"",267.379160944291
2120307,1,1,2,2,4,4,1,13,"",333.192203638888
2120308,1,1,1,2,5,2,1,13,"",333.192203638888
2120312,1,1,1,2,4,1,2,13,"",184.773636438433
2120316,1,2,1,2,2,1,2,13,"",127.233284212553
2120316,2,3,1,1,5,1,2,13,"",127.233284212553
2120316,3,2,1,3,5,1,2,13,"",127.233284212553
2120317,1,2,2,3,5,1,2,13,"",126.54794037515
2120319,1,1,1,1,4,1,2,13,"",155.755052961254
2120320,1,2,1,3,5,1,2,13,"",157.435706754519
2120322,1,1,1,2,5,6,1,13,"",176.295054829491
2120324,1,1,1,2,5,1,1,13,"",154.948497144452
2120326,1,1,1,1,4,6,1,13,"",189.681469288969
2120327,1,2,1,2,4,3,1,13,"",175.271413726289
2120332,1,2,1,6,5,1,2,13,"",182.494173396632
2120334,1,2,1,6,5,4,2,13,"",195.90501115001
2120335,1,2,1,1,5,1,2,13,"",156.684148735355
2120336,1,2,1,3,5,1,2,13,"",126.220239115926
2120336,1,4,2,2,3,1,2,13,"",126.220239115926
2120338,1,2,1,6,5,6,2,13,"",204.642200007246
2120338,1,3,1,1,1,1,2,13,"",204.642200007246
2120338,1,5,1,1,5,1,2,13,"",204.642200007246
2120339,1,2,1,2,5,1,2,13,"",141.350474150858
2120339,1,6,1,2,1,1,2,13,"",141.350474150858
2120341,1,3,1,1,4,1,2,13,"",132.601573368635
2120341,1,4,1,3,4,1,2,13,"",132.601573368635
2120342,1,1,1,2,5,1,1,13,"",145.977007948759
2120342,1,4,1,1,5,1,1,13,"",145.977007948759
2120344,1,2,1,2,5,1,1,13,"",175.271413726289
2120346,1,1,1,2,5,3,1,13,"",132.881458046985
2120347,1,2,1,2,5,1,1,13,"",94.6570933592201
2120347,1,4,1,2,4,1,1,13,"",94.6570933592201
2120349,1,1,1,2,5,1,1,13,"",90.4941386865241
2120351,1,4,1,2,4,1,1,13,"",81.8161503673781
2120352,1,2,1,2,3,1,2,13,"",131.061526104371
2120355,1,1,1,2,3,6,2,13,"",112.496466019148
2120355,1,5,1,1,4,1,2,13,"",112.496466019148
2120362,1,1,1,2,3,1,2,13,"",147.965137738477
2120364,1,1,1,2,4,1,1,13,"",192.566341822286
2120365,1,2,1,5,4,1,1,13,"",286.092763168496
2120366,1,4,1,1,3,1,1,13,"",115.08287922201
2120366,1,8,1,2,2,1,1,13,"",115.08287922201
2120368,1,1,1,1,3,1,1,13,"",301.265136230713
2120369,1,2,2,4,5,2,1,13,"",256.547184459467
2120373,1,2,1,1,1,6,1,13,"",242.520151952167
2120375,1,1,1,5,5,1,2,13,"",15.9665780279373
2120379,1,1,1,2,5,1,2,13,"",22.0406824855619
2120379,1,3,1,2,3,1,2,13,"",22.0406824855619
2120381,1,1,1,2,3,1,2,13,"",25.0209571616873
2120382,1,2,1,5,5,1,2,13,"",20.9500014438518
2120383,1,2,1,4,1,1,2,13,"",16.6360757045531
2120383,1,4,1,2,2,1,2,13,"",16.6360757045531
2120391,1,1,1,1,2,1,1,13,"",256.486275993029
2120393,1,2,1,2,5,1,1,13,"",192.566341822286
2120396,1,1,1,2,5,2,1,13,"",189.407318168724
2120396,1,2,2,1,3,1,1,13,"",189.407318168724
2120414,1,3,1,2,5,1,1,13,"",90.1711991598144
2120418,1,1,1,2,5,1,1,13,"",130.492021585536
2120419,1,1,1,2,5,3,1,13,"",134.824125190721
2120421,1,1,1,3,5,1,2,13,"",145.677105024223
2120422,1,1,1,1,5,1,2,13,"",160.328053564949
2120424,1,1,2,6,5,6,2,13,"",148.234907818455
2120425,1,1,1,3,5,2,2,13,"",124.616590789
2120429,1,1,2,2,5,6,2,13,"",159.028616996186
2120432,1,1,1,3,5,1,2,13,"",116.636748656359
2120433,1,1,1,3,5,1,2,13,"",158.267348844539
2120433,1,2,1,3,4,1,2,13,"",158.267348844539
2120434,1,1,3,2,5,2,2,13,"",165.237996682599
2120435,1,1,1,1,5,1,2,13,"",131.338017108909
2120436,1,1,1,3,5,1,2,13,"",143.125755296568
2120437,1,2,1,1,5,1,2,13,"",191.804790709905
2120439,1,2,1,2,5,1,2,13,"",169.08671942303
2120443,1,1,1,2,2,1,1,13,"",170.972209806365
2120444,1,2,1,1,5,1,1,13,"",82.1132541852271
2120446,1,1,2,2,3,4,1,13,"",147.317799685001
2120447,1,1,2,3,5,6,2,44,"",56.4206699736705
2120462,1,3,1,3,2,2,2,44,"",104.854927929521
2120465,1,1,1,1,5,6,2,44,"",114.747191245416
2120466,1,1,1,3,4,2,2,44,"",119.656162279115
2120470,1,1,1,3,5,1,2,44,"",133.220011338315
2120475,1,1,1,3,5,1,2,44,"",147.783646294776
2120476,1,1,1,3,5,1,2,44,"",128.079952442069
2120477,1,1,1,3,1,1,2,44,"",145.866111038044
2120477,1,2,1,2,4,1,2,44,"",145.866111038044
2120478,1,1,1,3,5,1,2,44,"",131.578145704962
2120481,1,1,1,3,5,2,2,44,"",117.917789251799
2120482,1,1,1,2,3,2,2,44,"",124.796221175362
2120486,1,1,1,5,5,1,1,44,"",65.4656110212044
2120487,1,1,1,2,2,1,1,44,"",69.3347135523309
2120489,1,1,5,3,5,,1,44,"",64.8567265617767
2120495,1,4,1,2,3,1,1,44,"",51.3526550605053
2120496,1,3,1,2,3,1,1,44,"",54.9268243173955
2120496,1,4,3,2,4,2,1,44,"",54.9268243173955
2120503,1,1,1,2,4,2,1,44,"",74.844378680065
2120504,1,1,1,2,4,6,1,44,"",77.5969021030421
2120507,1,2,1,1,2,6,1,44,"",80.502390650718
2120509,1,1,1,2,5,1,1,44,"",41.6879629135732
2120509,1,2,1,2,4,2,1,44,"",41.6879629135732
2120511,1,1,1,2,5,1,1,44,"",64.3163223058155
2120513,1,1,1,2,1,2,1,44,"",46.7786072740518
2120516,1,1,1,2,4,1,1,44,"",57.4082041303767
2120517,1,1,1,2,5,1,1,44,"",44.5501966686145
2120517,1,3,1,2,5,1,1,44,"",44.5501966686145
2120523,1,1,3,5,5,1,1,44,"",45.7312141729091
2120524,1,2,1,1,5,6,1,44,"",52.7238639546048
2120524,1,3,1,5,2,1,1,44,"",52.7238639546048
2120525,1,1,1,1,4,6,2,44,"",58.1800050080213
2120526,1,1,1,3,5,1,2,44,"",64.6839459828874
2120527,1,2,1,2,4,1,1,44,"",44.6899145351105
2120527,1,3,1,2,2,1,1,44,"",44.6899145351105
2120530,1,2,1,2,3,1,1,44,"",53.3787256129685
2120534,1,2,1,3,5,1,2,44,"",67.7250610394421
2120537,1,2,1,2,3,1,2,44,"",88.0166285640697
2120539,1,1,1,3,5,6,2,44,"",83.0810299225162
2120541,1,1,1,3,5,1,2,44,"",78.2689050060793
2120542,1,2,1,3,5,2,2,44,"",72.0221140767493
2120545,1,2,1,2,3,2,1,44,"",57.0915128991642
